corpus,layer,v,raw,ablated,verdict,q_median
C1,1,0.5,0.8941199312063283,0.8865862556330827,pass,4.0
C1,1,0.75,0.721273093609482,0.699833274103171,rogue_carried,14.0
C1,1,0.9,0.5814494245000555,0.5693564754082223,fail,40.0
C1,2,0.5,0.5816783579103169,0.5813863215132882,fail,8.0
C1,2,0.75,0.685246613980943,0.6873124592460533,fail,20.0
C1,2,0.9,0.6600370575066477,0.6618388653673304,fail,42.0
C1,3,0.5,0.782759227189544,0.7698671530572863,pass,5.0
C1,3,0.75,0.5740662601818923,0.5735674355866436,fail,21.0
C1,3,0.9,0.527618607271924,0.5283665762809944,fail,51.0
C1,4,0.5,0.6881211216586336,0.686217869183239,fail,6.0
C1,4,0.75,0.5612770367305471,0.5604403210202814,fail,24.0
C1,4,0.9,0.4621769009057076,0.46405758997970276,fail,57.5
C1,5,0.5,0.7230351573751781,0.7348539881854775,pass,7.0
C1,5,0.75,0.5440090798274853,0.5419721682852892,fail,25.0
C1,5,0.9,0.47176435734100586,0.4692878095890508,fail,58.0
C1,6,0.5,0.7196225481406084,0.718959798819319,pass,6.0
C1,6,0.75,0.5773538439842337,0.5750046139801739,fail,22.0
C1,6,0.9,0.46989219314880626,0.47106721182796146,fail,54.0
C1,7,0.5,0.6865248425818689,0.6824120807043539,fail,6.0
C1,7,0.75,0.5783178468344283,0.57118439733097,fail,23.0
C1,7,0.9,0.4581744229642536,0.45759159214823236,fail,55.0
C1,8,0.5,0.703331064219171,0.717254402651922,pass,6.0
C1,8,0.75,0.5651506016088743,0.568573769375502,fail,23.0
C1,8,0.9,0.4518760602728968,0.4502467321240821,fail,55.0
C1,9,0.5,0.6899933348022516,0.7107372469591275,fail,7.0
C1,9,0.75,0.5508943214635958,0.5484456233570677,fail,25.0
C1,9,0.9,0.43311818962790577,0.4298253100686819,fail,59.0
C1,10,0.5,0.7050319198091264,0.7069260784966682,pass,7.0
C1,10,0.75,0.5258203791168075,0.5207691546276384,fail,27.0
C1,10,0.9,0.42227147039237234,0.4165916331801221,fail,62.0
C1,11,0.5,0.7150131634797128,0.7139391191020937,pass,7.0
C1,11,0.75,0.5268939803404865,0.5257031516611833,fail,26.0
C1,11,0.9,0.4244332549696732,0.4205851461505241,fail,60.0
C1,12,0.5,0.738757914816683,0.7557920481885751,pass,6.0
C1,12,0.75,0.5352545820300515,0.5304833836740295,fail,25.0
C1,12,0.9,0.4294092241045071,0.42441798237763273,fail,59.0
C1,13,0.5,0.7161932527966652,0.7286334269453587,pass,7.0
C1,13,0.75,0.5148190717578234,0.5111628784575339,fail,26.5
C1,13,0.9,0.4172615172496348,0.4150161643127109,fail,61.0
C1,14,0.5,0.7182396423000474,0.7225645304271124,pass,7.0
C1,14,0.75,0.5161226940227688,0.5056917328861577,fail,27.0
C1,14,0.9,0.41214805812630073,0.4070426818657258,fail,61.5
C1,15,0.5,0.708602829418279,0.7016378535850898,pass,7.0
C1,15,0.75,0.5056412249345178,0.49707535001711595,fail,27.0
C1,15,0.9,0.3983034668821653,0.3962755469880932,fail,62.5
C1,16,0.5,0.6931565198669714,0.6982644564945873,fail,7.0
C1,16,0.75,0.49827050099128983,0.4960790132545405,fail,27.0
C1,16,0.9,0.4034142282929917,0.3988954613041089,fail,62.0
C1,17,0.5,0.6733627111511103,0.6909963324939787,fail,7.0
C1,17,0.75,0.5027477130825391,0.4963438492060147,fail,27.0
C1,17,0.9,0.3988432993069141,0.39565585173640816,fail,61.0
C1,18,0.5,0.6625098321736219,0.6484347484639702,fail,7.0
C1,18,0.75,0.4918130431995948,0.4910643366900894,fail,27.0
C1,18,0.9,0.3921556838707193,0.38942888982811075,fail,61.0
C1,19,0.5,0.661704239464125,0.658360618483084,fail,7.0
C1,19,0.75,0.4885355834159175,0.485783690030118,fail,27.0
C1,19,0.9,0.3900949847948711,0.38668521184887994,fail,60.0
C1,20,0.5,0.6638309876429538,0.659558183104449,fail,7.0
C1,20,0.75,0.48273766215440217,0.4782321590805336,fail,27.0
C1,20,0.9,0.38454545603542317,0.382406826252549,fail,61.0
C1,21,0.5,0.6431481112788344,0.6387969216109586,fail,7.0
